State;Probability
'001000';0.039
'000010';0.096
'101000';0.042
'010100';0.11
'100110';0.099
'000000';0.0055
'100000';0.0035
'010010';0.003
'100011';0.003
'000100';0.094
'011100';0.003
'011001';0.0385
'010110';0.0995
'100100';0.0045
'101110';0.0035
'100010';0.095
'010011';0.003
'010001';0.034
'101001';0.034
'110011';0.005
'011110';0.0035
'000110';0.0055
'101010';0.004
'100111';0.005
'000001';0.0275
'110000';0.0035
'111100';0.004
'001011';0.005
'011101';0.005
'010000';0.0045
'010101';0.0035
'100001';0.003
'110001';0.0025
'011010';0.0025
'111110';0.0025
'110010';0.007
'110100';0.004
'111000';0.004
'001010';0.0025
'111101';0.005
'000111';0.004
'011000';0.003
'110111';0.0025
'001100';0.0025
'001101';0.0025
'011111';0.0055
'101101';0.004
'101011';0.002
'110110';0.0045
'010111';0.0045
'111001';0.0035
'111010';0.0065
'011011';0.0045
'101100';0.0055
'001110';0.0035
'001111';0.0025
'001001';0.001
'111111';0.0035
'100101';0.003
'110101';0.003
'000011';0.0035
'000101';0.001
'101111';0.0025
'111011';0.0025
